SampleID	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70	F71	F72	F73	F74	F75	F76	F77	F78	F79	F80	F81	F82	F83	F84	F85	F86	F87	F88	F89	F90	F91	F92	F93	F94	F95	F96	F97	F98	F99	F100	F101	F102	F103	F104	F105	F106	F107	F108	F109	F110	F111	F112	F113	F114	F115	F116	F117	F118	F119	F120	F121	F122	F123	F124	F125	F126	F127	F128	F129	F130	F131	F132	F133	F134	F135	F136	F137	F138	F139	F140	F141	F142	F143	F144	F145	F146	F147	F148	F149	F150	F151	F152	F153	F154	F155	F156	F157	F158	F159	F160	F161	F162	F163	F164	F165	F166	F167	F168	F169	F170	F171	F172	F173	F174	F175	F176	F177	F178	F179	F180	F181	F182	F183	F184	F185	F186	F187	F188	F189	F190	F191	F192	F193	F194	F195	F196	F197	F198	F199	F200	F201	F202	F203	F204	F205	F206	F207	F208	F209	F210	F211	F212	F213	F214	F215	F216	F217	F218	F219	F220	F221	F222	F223	F224	F225	F226	F227
A1							1				1	1											squirrel	Bednarski								hedgehog		Fredry							ermine		Fredry											1									1									1												1				1				1											1															1				1				1																																															1	Control of pest, good quality of nature	-2	-1	0	1	2	-1	-2	-2	1	2	2	2	0	0	0	1		2	-2	1	-2	2	1	-2	1			1					1				1			1		1			1	1				1			
A2								1		1		1					1	1			1	pheasant	marten		Fredry																NR													1		1																																				1																																	1		marten									1																																			1			I dont care untill they causes losses 						-1	-2	-1	2	0	-1	1	-2	1	1	1		-1	-2	1	-2	1	0	-1	0			1						1			1			1		1								1			
A3			1				1					1					1	1					roe deer				Obwodnica autostrada A4 					squirrel	Lotników								hedgehog		Gołaśka							1									1				1									1								1				1				1				1		1				1				1										1				1				1				1		1																																														1								-1	-2	-2	1	1	0	1	-2	-1	-1	2		1	-2	1	-1	1	-1	0	0			1					1				1			1		1				1					1	Books	Responses to wildlife vary with the size and impact of animals.
A4							1		1			1				1	1	1					squirrel	Las Borkowski								hare	Las Borkowski								red fox	Las Borkowski								1									1									1												1																1																1														1																																														1								-1	-2	-2	1	2	2	1	-2	1	1	1		2	-2	1	-1	2	-1	-2	-2			1					1				1				1	1			1	1	1						
A5												1											squirrel	Jordana																	NR											1																												1																																														1																																												1										1	-2	-2	2	0	2	-1	-2	-2	-2	2		-2	-2	2	-2	1	-1	-2	-1			1							1		1			1		1			1	1							
A6			1				1			1		1					1	1		1	1	stork	roe deer		Fredry							squirrel	Las Borkowski, Krakowski			Fredry					swan							Bonarka						1					1		1							1		1	1									1													1				1				1							1	1				1													1																																													1									-1	-2	-1	0	1	2	1	-2	-2	-2	2		2	-1	-2	-2	1	-1	-1	0			1							1		1			1		1			1	1	1		1	1			
A7							1				1	1					1	1					hedgehog	1								swan							Wisła		duck							Wisła		1				1					1		1							1		1										1				1				1				1				1				1				1				1				1				1				1				1		1																																														1		Connection with nature						-2	-2	-2	-2	2	-1	1	-1	-1	1	1		2	-2	-1	-2	1	1	-2	1			1							1		1			1		1			1	1	1	1					
A8							1	1				1					1	1					squirrel	Bednarski								swan							Bagry		duck							Bagry				1									1									1										1				1				1								1				1				1								1				1				1						1																																															1	We need animals						-2	-2	-2	-1	2	1	2	0	-2	-1	1		1	-2	1	-2	0	0	-2	-1	Released after curing		1							1		1			1		1				1			1				
A9				1			1					1					1	1					wild boar			Twardowskiego						squirrel					Nursery 22				swan							Wisła									1	disturbances					1								1													1											1				1				1								1			1					1						1		wild boar					1																																								1		Sometimes stressful						-1	0	0	1	1	1	1	-2	1	0	2		1	-2	0	0	1	-1	0	0			1							1		1			1		1				1		1					
A10			1				1		1	1		1					1	1			1	mole	mole		1							roe deer		Swoszowice							hedgehog				Marcowa										1								1					1												1				1				1				1				1				1				1				1				1				1				1				1	1		marten									1																																				1		Natural conditions						-1	-2	-2	-1	1	1	1	-2	-1	-1	2		1	-2	-1	-1	2	-1	-1	-1			1							1		1			1		1			1	1	1			1			
